ID: 682bd082-42a3-416f-9def-e304c43ca2b5, Content: Where do you study?, Number: 1, QuestionType: Study 🎓
ID: 1cdd83ac-4da6-49c6-aa62-f12578929c82, Content: What colors do you like to wear the most?, Number: 7, QuestionType: Clothes 👗
ID: 9424d155-b3df-437f-8895-9801a8ef84da, Content: Do you follow fashion trends?, Number: 8, QuestionType: Clothes 👗
ID: 84fcecca-7f86-4e40-8553-05196eb173f0, Content: Have you ever bought clothes online? If so, what was your experience like?, Number: 9, QuestionType: Clothes 👗
ID: 62c301f1-b137-4310-856e-c440417eca83, Content: Do you think people judge others based on their clothing choices?, Number: 10, QuestionType: Clothes 👗
ID: 2a03b80b-bc84-46ee-8739-6b59b1ae28e5, Content: How often do you use a computer?, Number: 1, QuestionType: Computer 💻
ID: 2e5168bd-0c05-4deb-8e37-51ebac422cdd, Content: What do you mainly use your computer for?, Number: 2, QuestionType: Computer 💻
ID: a119dd99-3954-4fdc-93c7-fd7922fc1bb0, Content: Do you prefer laptops or desktop computers?, Number: 3, QuestionType: Computer 💻
ID: 5323fb9c-f0d9-4cd9-a140-4a3b7f2657de, Content: How has the computer changed people's lives?, Number: 4, QuestionType: Computer 💻
ID: e52f67c9-3ad9-446c-a569-08bbe098699f, Content: Can you remember the first time you used a computer?, Number: 5, QuestionType: Computer 💻
ID: e48f0070-7696-4b82-bbab-0ee78fb27c04, Content: Do you think children should learn how to use computers at school?, Number: 6, QuestionType: Computer 💻
ID: 2aeff5af-1ea6-4994-ada9-58155969a74f, Content: What computer skills do you think are important for the future?, Number: 7, QuestionType: Computer 💻
ID: d88e2ddf-7973-49c7-aec2-bdc24117db64, Content: How has the internet affected the way people use computers?, Number: 8, QuestionType: Computer 💻
ID: 43c7f789-0f9b-4b21-801e-5c0fefe36f96, Content: Do you think computers have made life easier or more complicated?, Number: 9, QuestionType: Computer 💻
ID: e558b37b-1c77-4b38-96d2-8fe64b3485c5, Content: What do you think the future of computers will be like?, Number: 10, QuestionType: Computer 💻
ID: 74c4bc12-2ccb-472c-b847-8e804f4efe64, Content: Can you describe your typical daily routine?, Number: 1, QuestionType: Daily Routine 🌞
ID: 989743f3-4a72-4ee1-bfbf-e5b451dcdf57, Content: What time do you usually wake up in the morning?, Number: 2, QuestionType: Daily Routine 🌞
ID: ab0e2a49-0e37-4a54-a38c-4f87ad75a7a2, Content: What is the first thing you do after waking up?, Number: 3, QuestionType: Daily Routine 🌞
ID: 12ad097f-d5c3-4429-949b-c4bb59e32c8a, Content: How do you like to start your day?, Number: 4, QuestionType: Daily Routine 🌞
ID: f353666c-89e2-4fa9-b0da-38e04485ae25, Content: What do you usually eat for breakfast?, Number: 5, QuestionType: Daily Routine 🌞
ID: 79242405-76f0-4c2e-9e96-c01a4fc904f4, Content: How do you organize your day to be productive?, Number: 6, QuestionType: Daily Routine 🌞
ID: 4e9a998e-5b8b-482f-b03b-47ae9846e59a, Content: What do you do in the evenings before going to bed?, Number: 7, QuestionType: Daily Routine 🌞
ID: 567eb0aa-bed2-4fe0-b95e-8d38ec57dda5, Content: Do you have any rituals or habits you follow every day?, Number: 8, QuestionType: Daily Routine 🌞
ID: 41140d54-c478-4cd9-9b69-51f85bce763b, Content: How do you unwind after a busy day?, Number: 9, QuestionType: Daily Routine 🌞
ID: 4777b80f-ddd0-491a-b03f-68a03a4c27b0, Content: Do you prefer weekdays or weekends? Why?, Number: 10, QuestionType: Daily Routine 🌞
ID: 18b03862-cfb4-485b-b967-3171b749fdaf, Content: Do you often use dictionaries?, Number: 1, QuestionType: Dictionaries 📚
ID: 94608280-fddb-40dd-a7ae-354ab9c180cf, Content: What type of dictionaries do you use the most?, Number: 2, QuestionType: Dictionaries 📚
ID: ac746aaf-7a60-497f-b68c-30a0fdfafff6, Content: How do dictionaries help you with your studies or work?, Number: 3, QuestionType: Dictionaries 📚
ID: b6c77aae-1872-4e20-bae4-392b44663a48, Content: Do you prefer using paper dictionaries or digital dictionaries?, Number: 4, QuestionType: Dictionaries 📚
ID: 467f8c7a-540c-44c4-b79a-c4b09f16ceb9, Content: Have you ever used a bilingual dictionary? If yes, how helpful was it?, Number: 5, QuestionType: Dictionaries 📚
ID: 76dfd407-5aa8-4768-a4b1-30b3fbd7621b, Content: Do you think dictionaries are still important in the age of the internet?, Number: 6, QuestionType: Dictionaries 📚
ID: e5fe9def-84a7-4ea0-a03d-8cc4da2aacad, Content: How often do you come across words you don't understand?, Number: 7, QuestionType: Dictionaries 📚
ID: 2b5ff830-9e52-45cc-a1ba-7545d43eff7f, Content: Can you remember a time when a dictionary helped you solve a problem?, Number: 8, QuestionType: Dictionaries 📚
ID: c3e65dbf-bdb2-45b4-8f07-f50503213a7b, Content: Do you think it's important for children to learn how to use dictionaries?, Number: 9, QuestionType: Dictionaries 📚
ID: e53cfb97-6331-4d27-997d-ee11444466ce, Content: How have dictionaries changed over the years?, Number: 10, QuestionType: Dictionaries 📚
ID: b97a1c65-6d48-4cb6-971f-77ee907a6c33, Content: How do you usually spend your evenings?, Number: 1, QuestionType: Evenings 🌙
ID: d1a48943-047d-40fb-bdc1-ff5f67576862, Content: Do you prefer staying at home or going out in the evenings?, Number: 2, QuestionType: Evenings 🌙
ID: 59142a10-49fd-47f3-8ae6-8334b86affba, Content: What activities do you enjoy doing in the evenings?, Number: 3, QuestionType: Evenings 🌙
ID: d60afcf0-b37c-4401-81b2-4537bfb12e93, Content: How important is it for you to have a relaxing evening?, Number: 4, QuestionType: Evenings 🌙
ID: d943af39-1d32-4224-a6f6-fe2945afa257, Content: Do you have any evening rituals or routines?, Number: 5, QuestionType: Evenings 🌙
ID: 0c982da6-afb9-41df-9c1c-c112c28d290d, Content: What do you like to watch or read in the evenings?, Number: 6, QuestionType: Evenings 🌙
ID: f131e3dd-54d1-4e2f-bd23-367f8520b5f0, Content: Do you prefer spending time alone or with others in the evenings?, Number: 7, QuestionType: Evenings 🌙
ID: ab70fa6e-5605-4ac5-8e35-b924410f0423, Content: How do you unwind after a long day?, Number: 8, QuestionType: Evenings 🌙
ID: 886e28d0-bd93-4f1b-a371-48f5992388c8, Content: Do you ever go out for dinner or drinks in the evenings?, Number: 9, QuestionType: Evenings 🌙
ID: 340effa4-d56a-48fc-87ec-f5a92b94984b, Content: Can you share a memorable evening you've had recently?, Number: 10, QuestionType: Evenings 🌙
ID: 9d60827a-dbba-4e14-8eb6-2f959169ebe4, Content: How many close friends do you have?, Number: 1, QuestionType: Friends 👫
ID: ec722fc6-588b-42b3-9666-705d0b57bd37, Content: How did you meet your best friend?, Number: 2, QuestionType: Friends 👫
ID: f5c34637-7067-429b-a210-68f99983a1f8, Content: What qualities do you look for in a friend?, Number: 3, QuestionType: Friends 👫
ID: 3040c5fb-de00-4178-900e-810310041b9c, Content: Do you prefer to have a few close friends or many acquaintances?, Number: 4, QuestionType: Friends 👫
ID: ed2b7466-502e-4143-8c16-1054aa7feccf, Content: How often do you spend time with your friends?, Number: 5, QuestionType: Friends 👫
ID: f8dfefdd-79fe-4ff5-b46e-6f3117597000, Content: What do you usually do when you hang out with your friends?, Number: 6, QuestionType: Friends 👫
ID: 5f8dfa2e-a0d8-4863-afe6-e00f83ebaedd, Content: Can you describe a memorable experience you had with your friends?, Number: 7, QuestionType: Friends 👫
ID: f82e5347-412b-4f1f-81c1-adab5d97dcd8, Content: Do you think it's important to maintain friendships? Why?, Number: 8, QuestionType: Friends 👫
ID: b4845947-1a25-4bb4-94c2-9cc3423fd362, Content: What makes someone a good friend?, Number: 9, QuestionType: Friends 👫
ID: e8a7054b-99b8-44e9-8427-016db3c2c74e, Content: How do you make new friends?, Number: 10, QuestionType: Friends 👫
ID: 2a245cd2-fd81-41e1-a136-1fbd7c137022, Content: Do you like flowers?, Number: 1, QuestionType: Flowers 💐
ID: 2feb471e-b9d6-4fd4-b899-bb8fb43cd7f3, Content: What is your favorite type of flower?, Number: 2, QuestionType: Flowers 💐
ID: efc43341-44c6-4833-a098-570a79187557, Content: Do you ever buy or receive flowers? If so, on what occasions?, Number: 3, QuestionType: Flowers 💐
ID: 11c5a137-de79-4646-aba3-fd9b1256a1e2, Content: Where do you usually see flowers?, Number: 4, QuestionType: Flowers 💐
ID: 9dae72e6-e8a9-4599-9df6-74abb070ccf0, Content: What do flowers symbolize in your culture?, Number: 5, QuestionType: Flowers 💐
ID: 31531fc2-71a2-43eb-ad7f-ffb955cac713, Content: Do you have any flowers in your home or garden?, Number: 6, QuestionType: Flowers 💐
ID: 68569e00-f448-464e-9f43-930da82c33ae, Content: Can you name some occasions when people give flowers as gifts?, Number: 7, QuestionType: Flowers 💐
ID: 6ddc9ac6-829e-4e83-92cc-4d34df587c8c, Content: What do you think is the significance of flowers in weddings?, Number: 8, QuestionType: Flowers 💐
ID: 14098884-2cd0-4341-b5a8-02b7dbfacac2, Content: Are there any flowers that have special meaning to you?, Number: 9, QuestionType: Flowers 💐
ID: 3db3651e-3613-4e56-824f-e837eb2f5d0e, Content: How do you feel when you see flowers?, Number: 10, QuestionType: Flowers 💐
ID: 8ea02842-604a-4902-afc1-339d59606385, Content: What is your favorite type of cuisine?, Number: 1, QuestionType: Food 🍲
ID: 7690cc84-8a89-4c48-8a44-02735302500f, Content: Do you enjoy cooking? Why or why not?, Number: 2, QuestionType: Food 🍲
ID: 2251b114-5253-4115-8999-7ab43df54f0c, Content: What is a traditional dish from your country?, Number: 3, QuestionType: Food 🍲
ID: 626eff9d-6c79-4924-80f4-eaf10fd85393, Content: How often do you eat out at restaurants?, Number: 4, QuestionType: Food 🍲
ID: e2ce03e1-f664-4860-968b-a33068a7f100, Content: Do you prefer homemade food or food from restaurants?, Number: 5, QuestionType: Food 🍲
ID: 15ccee81-4e56-43cd-941b-f4d3c03fbe3a, Content: Can you cook any international dishes?, Number: 6, QuestionType: Food 🍲
ID: 5cef6d27-42d2-4f97-a96d-4e117b0a499e, Content: What is your favorite comfort food?, Number: 7, QuestionType: Food 🍲
ID: ad1e3b94-46af-4033-b670-270075ae68f3, Content: Are there any foods you dislike or refuse to eat?, Number: 8, QuestionType: Food 🍲
ID: a241c0b4-d32a-4c18-bdb0-5bff33c432c3, Content: What is the most exotic food you have ever tried?, Number: 9, QuestionType: Food 🍲
ID: 8cd15b1f-7898-4cdc-a210-80450020edfa, Content: How important is food in your culture?, Number: 10, QuestionType: Food 🍲
ID: d423f0c7-7742-4000-a80a-12a178ad435d, Content: How often do you go out with friends or family?, Number: 1, QuestionType: Going out 🎉
ID: b8100e14-ff0d-4720-a965-e9d4ff97ea26, Content: What do you usually do when you go out?, Number: 2, QuestionType: Going out 🎉
ID: acbc442e-6f00-4a56-a769-b35c2d962aa1, Content: Do you prefer going out during the day or at night?, Number: 3, QuestionType: Going out 🎉
ID: 1dbd6912-05cd-4ce7-8903-6ff133c73722, Content: What are some popular places to go out in your city?, Number: 4, QuestionType: Going out 🎉
ID: 5e4c55e4-65d1-4b8c-bb43-4be098ba4538, Content: Do you enjoy going to parties or social gatherings?, Number: 5, QuestionType: Going out 🎉
ID: 0866ed07-ca21-4bd7-8d1f-448540af2788, Content: How do you decide where to go when you go out?, Number: 6, QuestionType: Going out 🎉
ID: f92b5127-17d0-4ea8-8709-ee7ca3704f71, Content: Can you describe a recent memorable outing you had?, Number: 7, QuestionType: Going out 🎉
ID: 56728bcb-b09f-4817-8ff8-0baf7d0fa87e, Content: What factors do you consider when planning a day out?, Number: 8, QuestionType: Going out 🎉
ID: 9bd092f4-1f22-4803-98ec-ed104490ff32, Content: Do you prefer going out alone or with others?, Number: 9, QuestionType: Going out 🎉
ID: f590246e-b403-44dc-be85-a09a6f7bb6da, Content: How do you feel about staying at home instead of going out?, Number: 10, QuestionType: Going out 🎉
ID: 079ec24e-2b03-4b2a-8675-d38cead4bba9, Content: What makes you happy?, Number: 1, QuestionType: Happiness 😊
